music_names,urls
Indigestion,https://genius.com/Cosmic-boy-indigestion-lyrics
InSomnia,https://genius.com/Dreamcatcher-insomnia-lyrics
Interlude,https://genius.com/Geegooin-interlude-lyrics
Intermission,https://genius.com/Son-dong-woon-intermission-lyrics
In The End,https://genius.com/Junho-from-2pm-in-the-end-lyrics
In The Rain,https://genius.com/Yoon-ji-sung-in-the-rain-lyrics
In The Silence,https://genius.com/Son-dong-woon-in-the-silence-lyrics
Intro: Light Us,https://genius.com/Oneus-intro-light-us-lyrics
Intro: Persona,https://genius.com/Bts-persona-lyrics
Intro: We Are Here,https://genius.com/Monsta-x-intro-we-are-here-lyrics
Is It Love?,https://genius.com/Soyeon-laboum-and-dindin-is-it-love-lyrics
Island (Queen of Diamonds),https://genius.com/The-black-skirts-island-queen-of-diamonds-lyrics
It's Gonna Be Alright,https://genius.com/Black-nine-its-gonna-be-alright-lyrics
It's On Me,https://genius.com/Olltii-its-on-me-lyrics
It's You,https://genius.com/Gfriend-its-you-lyrics
Jamias Vu,https://genius.com/Bts-jamais-vu-lyrics
Jealous,https://genius.com/Nichkhun-of-2pm-jealous-lyrics
Jet Lag,https://genius.com/Nct-127-jet-lag-lyrics
Jijongpal,https://genius.com/Geegooin-jijongpal-lyrics
Journey,https://genius.com/Bang-yong-guk-journey-lyrics
Jumping,https://genius.com/Suran-jumping-lyrics
Jungle,https://genius.com/Super-junior-d-e-jungle-lyrics
Just Friends,https://genius.com/Gxxd-girlnexxtdoor-just-friends-lyrics
Justice,https://genius.com/Klang-justice-lyrics
Katchup,https://genius.com/Dalsoobin-ketchup-lyrics
Kick It,https://genius.com/Blackpink-kick-it-lyrics
Kill This Love,https://genius.com/Blackpink-kill-this-love-lyrics
Kuse,https://genius.com/Geegooin-kuse-lyrics
Lady,https://genius.com/Trei-lady-annotated
Lady (Urban Mix),https://genius.com/Exid-lady-urban-mix-lyrics
La La Love,https://genius.com/Wjsn-la-la-love-lyrics
L.A.Y.E.R.E.D,https://genius.com/Ravi-vixx-layered-lyrics
Leave Him,https://genius.com/God-korea-leave-him-lyrics
Leave It,https://genius.com/Nflying-leave-it-lyrics
Leave It To Me,https://genius.com/Jbj95-leave-it-to-me-lyrics
Leggo,https://genius.com/Wannab-leggo-lyrics
Lester Burnham,https://genius.com/The-black-skirts-lester-burnham-lyrics
Let's Ride,https://genius.com/U-kwon-block-b-lets-ride-lyrics
Life Is So Beautiful,https://genius.com/Sf9-life-is-so-beautiful-lyrics
Light,https://genius.com/Ateez-light-lyrics
Light Me Up,https://genius.com/Ab6ix-light-me-up-lyrics
Light Up,https://genius.com/Verivery-light-up-lyrics
Lights Out,https://genius.com/Ph-1-lights-out-lyrics
Like It,https://genius.com/Clc-like-it-lyrics
Like It,https://genius.com/Neonpunch-like-it-lyrics
Like Me,https://genius.com/Ph-1-like-me-lyrics
Live,https://genius.com/Ravi-vixx-live-lyrics
